Comunidad Autónoma,Residencia,Viajeros,Pernoctaciones,año,mes,Total
Madrid,Residentes en España,Si,,2023,09,564.048
Madrid,Residentes en España,Si,,2023,08,467.045
Madrid,Residentes en España,Si,,2023,07,563.343
Madrid,Residentes en España,Si,,2023,06,615.313
Madrid,Residentes en España,Si,,2023,05,567.870
Madrid,Residentes en España,Si,,2023,04,566.645
Madrid,Residentes en España,Si,,2023,03,579.764
Madrid,Residentes en España,Si,,2023,02,513.382
Madrid,Residentes en España,Si,,2023,01,524.051
Madrid,Residentes en España,Si,,2022,12,620.080
Madrid,Residentes en España,Si,,2022,11,593.671
Madrid,Residentes en España,Si,,2022,10,582.487
Madrid,Residentes en España,Si,,2022,09,550.019
Madrid,Residentes en España,Si,,2022,08,448.780
Madrid,Residentes en España,Si,,2022,07,480.539
Madrid,Residentes en España,Si,,2022,06,554.884
Madrid,Residentes en España,Si,,2022,05,550.965
Madrid,Residentes en España,Si,,2022,04,555.151
Madrid,Residentes en España,Si,,2022,03,525.292
Madrid,Residentes en España,Si,,2022,02,484.422
Madrid,Residentes en España,Si,,2022,01,386.597
Madrid,Residentes en España,Si,,2021,12,528.498
Madrid,Residentes en España,Si,,2021,11,528.624
Madrid,Residentes en España,Si,,2021,10,564.761
Madrid,Residentes en España,Si,,2021,09,452.686
Madrid,Residentes en España,Si,,2021,08,363.898
Madrid,Residentes en España,Si,,2021,07,376.416
Madrid,Residentes en España,Si,,2021,06,371.203
Madrid,Residentes en España,Si,,2021,05,316.121
Madrid,Residentes en España,Si,,2021,04,232.440
Madrid,Residentes en España,Si,,2021,03,235.502
Madrid,Residentes en España,Si,,2021,02,196.967
Madrid,Residentes en España,Si,,2021,01,181.252
Madrid,Residentes en España,Si,,2020,12,200.945
Madrid,Residentes en España,Si,,2020,11,167.173
Madrid,Residentes en España,Si,,2020,10,142.107
Madrid,Residentes en España,Si,,2020,09,177.448
Madrid,Residentes en España,,Si,2023,09,985.818
Madrid,Residentes en España,,Si,2023,08,835.075
Madrid,Residentes en España,,Si,2023,07,958.385
Madrid,Residentes en España,,Si,2023,06,1.002.324
Madrid,Residentes en España,,Si,2023,05,944.848
Madrid,Residentes en España,,Si,2023,04,1.028.075
Madrid,Residentes en España,,Si,2023,03,963.723
Madrid,Residentes en España,,Si,2023,02,891.978
Madrid,Residentes en España,,Si,2023,01,904.052
Madrid,Residentes en España,,Si,2022,12,1.111.786
Madrid,Residentes en España,,Si,2022,11,991.945
Madrid,Residentes en España,,Si,2022,10,1.012.992
Madrid,Residentes en España,,Si,2022,09,932.436
Madrid,Residentes en España,,Si,2022,08,786.584
Madrid,Residentes en España,,Si,2022,07,830.820
Madrid,Residentes en España,,Si,2022,06,940.874
Madrid,Residentes en España,,Si,2022,05,941.725
Madrid,Residentes en España,,Si,2022,04,981.114
Madrid,Residentes en España,,Si,2022,03,905.312
Madrid,Residentes en España,,Si,2022,02,847.027
Madrid,Residentes en España,,Si,2022,01,699.507
Madrid,Residentes en España,,Si,2021,12,981.968
Madrid,Residentes en España,,Si,2021,11,923.355
Madrid,Residentes en España,,Si,2021,10,1.032.907
Madrid,Residentes en España,,Si,2021,09,816.887
Madrid,Residentes en España,,Si,2021,08,676.957
Madrid,Residentes en España,,Si,2021,07,673.159
Madrid,Residentes en España,,Si,2021,06,656.321
Madrid,Residentes en España,,Si,2021,05,561.269
Madrid,Residentes en España,,Si,2021,04,403.306
Madrid,Residentes en España,,Si,2021,03,409.239
Madrid,Residentes en España,,Si,2021,02,341.895
Madrid,Residentes en España,,Si,2021,01,318.876
Madrid,Residentes en España,,Si,2020,12,358.265
Madrid,Residentes en España,,Si,2020,11,304.090
Madrid,Residentes en España,,Si,2020,10,273.851
Madrid,Residentes en España,,Si,2020,09,333.690
