Viajeros
Totales Territoriales;Comunidad Autónoma;Viajeros o pernoctaciones;Residencia;Periodo;Total
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2023M09;564.048
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2023M08;467.045
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2023M07;563.343
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2023M06;615.313
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2023M05;567.870
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2023M04;566.645
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2023M03;579.764
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2023M02;513.382
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2023M01;524.051
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2022M12;620.080
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2022M11;593.671
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2022M10;582.487
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2022M09;550.019
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2022M08;448.780
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2022M07;480.539
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2022M06;554.884
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2022M05;550.965
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2022M04;555.151
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2022M03;525.292
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2022M02;484.422
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2022M01;386.597
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2021M12;528.498
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2021M11;528.624
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2021M10;564.761
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2021M09;452.686
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2021M08;363.898
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2021M07;376.416
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2021M06;371.203
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2021M05;316.121
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2021M04;232.440
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en España;2021M03;235.502
